201,池州市,12,247100,2
202,宣城市,12,242000,2
203,福州市,13,350000,2
204,厦门市,13,361000,2
205,莆田市,13,351100,2
206,三明市,13,365000,2
207,泉州市,13,362000,2
208,漳州市,13,363000,2
209,南平市,13,353000,2
210,龙岩市,13,364000,2
211,宁德市,13,352000,2
212,南昌市,14,330200,2
213,景德镇市,14,333000,2
214,萍乡市,14,337000,2
215,九江市,14,332100,2
216,新余市,14,338000,2
217,鹰潭市,14,335000,2
218,赣州市,14,341000,2
219,吉安市,14,343100,2
220,宜春市,14,336000,2
221,抚州市,14,344000,2
222,上饶市,14,334100,2
223,济南市,15,250000,2
224,青岛市,15,266000,2
225,淄博市,15,255000,2
226,枣庄市,15,277000,2
227,东营市,15,257100,2
228,烟台市,15,264000,2
229,潍坊市,15,261000,2
230,济宁市,15,272000,2
231,泰安市,15,271000,2
232,威海市,15,264200,2
233,日照市,15,276800,2
234,莱芜市,15,271100,2
235,临沂市,15,276000,2
236,德州市,15,253000,2
237,聊城市,15,252000,2
238,滨州市,15,256600,2
239,菏泽市,15,274000,2
240,郑州市,16,450000,2
241,开封市,16,475100,2
242,洛阳市,16,471000,2
243,平顶山市,16,467000,2
244,安阳市,16,455100,2
245,鹤壁市,16,458000,2
246,新乡市,16,453700,2
247,焦作市,16,454150,2
248,濮阳市,16,457100,2
249,许昌市,16,461100,2
250,漯河市,16,462000,2
251,三门峡市,16,472000,2
252,南阳市,16,473000,2
253,商丘市,16,476000,2
254,信阳市,16,464000,2
255,周口市,16,466000,2
256,驻马店市,16,463000,2
257,济源市,16,454650,2
258,武汉市,17,430000,2
259,黄石市,17,435000,2
260,十堰市,17,442000,2
261,宜昌市,17,443000,2
262,襄阳市,17,441100,2
263,鄂州市,17,436000,2
264,荆门市,17,448000,2
265,孝感市,17,432000,2
266,荆州市,17,434020,2
267,黄冈市,17,438000,2
268,咸宁市,17,437000,2
269,随州市,17,441300,2
270,恩施土家族苗族自治州,17,445000,2
271,仙桃市,17,433000,2
272,潜江市,17,433100,2
273,天门市,17,431700,2
274,神农架林区,17,442400,2
275,长沙市,18,410000,2
276,株洲市,18,412000,2
277,湘潭市,18,411200,2
278,衡阳市,18,421200,2
279,邵阳市,18,422100,2
280,岳阳市,18,414100,2
281,常德市,18,415000,2
282,张家界市,18,427000,2
283,益阳市,18,413000,2
284,郴州市,18,423000,2
285,永州市,18,425000,2
286,怀化市,18,418000,2
287,娄底市,18,417000,2
288,湘西土家族苗族自治州,18,416000,2
289,广州市,19,510000,2
290,韶关市,19,512000,2
291,深圳市,19,518000,2
292,珠海市,19,519000,2
293,汕头市,19,515000,2
294,佛山市,19,528000,2
295,江门市,19,529000,2
296,湛江市,19,524000,2
297,茂名市,19,525000,2
298,肇庆市,19,526000,2
299,惠州市,19,516000,2
300,梅州市,19,514000,2
301,汕尾市,19,516600,2
302,河源市,19,517000,2
303,阳江市,19,529500,2
304,清远市,19,511500,2
305,东莞市,19,523000,2
306,中山市,19,116000,2
307,潮州市,19,521000,2
308,揭阳市,19,522000,2
309,云浮市,19,527300,2
310,南宁市,20,530000,2
311,柳州市,20,545000,2
312,桂林市,20,541000,2
313,梧州市,20,543000,2
314,北海市,20,536000,2
315,防城港市,20,538000,2
316,钦州市,20,535000,2
317,贵港市,20,537000,2
318,玉林市,20,537000,2
319,百色市,20,533000,2
320,贺州市,20,542800,2
321,河池市,20,547000,2
322,来宾市,20,546100,2
323,崇左市,20,532200,2
324,海口市,21,570100,2
325,三亚市,21,572000,2
326,五指山市,21,572200,2
327,琼海市,21,571400,2
328,儋州市,21,571700,2
329,文昌市,21,571300,2
330,万宁市,21,571500,2
331,东方市,21,572600,2
332,定安县,21,571229,2
333,屯昌县,21,571600,2
334,澄迈县,21,571900,2
335,临高县,21,571800,2
336,白沙黎族自治县,21,572800,2
337,昌江黎族自治县,21,572700,2
338,乐东黎族自治县,21,572500,2
339,陵水黎族自治县,21,572400,2
340,保亭黎族苗族自治县,21,572300,2
341,琼中黎族苗族自治县,21,572900,2
342,西沙群岛,21,572000,2
343,南沙群岛,21,,2
344,中沙群岛的岛礁及其海域,21,,2
345,万州区,62,404100,3
346,涪陵区,62,404100,3
347,渝中区,62,404100,3
348,大渡口区,62,404100,3
349,江北区,62,404100,3
350,沙坪坝区,62,404100,3
351,九龙坡区,62,404100,3
352,南岸区,62,404100,3
353,北碚区,62,404100,3
354,双桥区,62,404100,3
355,万盛区,62,404100,3
356,渝北区,62,404100,3
357,巴南区,62,404100,3
358,黔江区,62,404100,3
359,长寿区,62,404100,3
360,綦江区,62,404100,3
361,潼南县,62,404100,3
362,铜梁县,62,404100,3
363,大足区,62,404100,3
364,荣昌县,62,404100,3
365,璧山县,62,404100,3
366,梁平县,62,404100,3
367,城口县,62,404100,3
368,丰都县,62,404100,3
369,垫江县,62,404100,3
370,武隆县,62,404100,3
371,忠县,62,404100,3
372,开县,62,404100,3
373,云阳县,62,404100,3
374,奉节县,62,404100,3
375,巫山县,62,404100,3
376,巫溪县,62,404100,3
377,石柱土家族自治县,62,409100,3
378,秀山土家族苗族自治县,62,409900,3
379,酉阳土家族苗族自治县,62,409800,3
380,彭水苗族土家族自治县,62,409600,3
381,江津区,62,404100,3
382,合川区,62,404100,3
383,永川区,62,404100,3
384,南川区,62,404100,3
385,成都市,23,610000,2
386,自贡市,23,643000,2
387,攀枝花市,23,617000,2
388,泸州市,23,646000,2
389,德阳市,23,618000,2
390,绵阳市,23,621000,2
391,广元市,23,628000,2
392,遂宁市,23,629000,2
393,内江市,23,641000,2
394,乐山市,23,614000,2
395,南充市,23,637000,2
396,眉山市,23,620000,2
397,宜宾市,23,644600,2
398,广安市,23,638550,2
399,达州市,23,635000,2
400,雅安市,23,625000,2
401,巴中市,23,636600,2
402,资阳市,23,641300,2
403,阿坝藏族羌族自治州,23,624600,2
404,甘孜藏族自治州,23,626700,2
405,凉山彝族自治州,23,615000,2
406,贵阳市,24,550000,2
407,六盘水市,24,553000,2
408,遵义市,24,563100,2
409,安顺市,24,561000,2
410,铜仁地区,24,554300,2
411,黔西南布依族苗族自治州,24,562400,2
412,毕节地区,24,551700,2
413,黔东南苗族侗族自治州,24,556000,2
414,黔南布依族苗族自治州,24,558000,2
415,昆明市,25,650000,2
416,曲靖市,25,655000,2
417,玉溪市,25,653100,2
418,保山市,25,678000,2
419,昭通市,25,657000,2
